playerid,Name,Team,POS,G,PA,IP,WAR,value,spotrac
21844,Braxton Garrett,MIA,RP,51,0,109,1,NA,NA
1943,Zack Greinke,FA,SP,24,0,136,1,10439187,FA
14843,Michael Lorenzen,FA,SP,23,0,127,1,9545387,FA
27646,Luis Ortiz,PIT,SP,13,0,72,1,NA,NA
10131,Stephen Strasburg,WSN,SP,15,0,81,1,NA,NA
17149,Domingo Germán,NYY,SP,39,0,133,1,NA,NA
4806,Rich Hill,FA,SP,19,0,102,1,2000000,FA
19244,Cole Irvin,OAK,SP,31,0,187,1,NA,NA
19879,Tanner Houck,BOS,RP,63,0,84,1,NA,NA
18138,Ryan Helsley,STL,RP,68,0,68,1,NA,NA
13619,Jakob Junis,SFG,RP,73,0,130,0.9,NA,NA
sa3014810,Gavin Stone,LAD,RP,30,0,75,0.9,NA,NA
20070,Bailey Falter,PHI,RP,40,0,112,0.9,NA,NA
20160,Nate Pearson,TOR,RP,48,0,123,0.9,NA,NA
17780,José Alvarado,PHI,RP,65,0,65,0.9,NA,NA
6397,Jake Odorizzi,TEX,RP,52,0,127,0.9,NA,NA
15734,Brad Keller,KCR,SP,32,0,106,0.9,NA,NA
sa3014513,Kyle Harrison,SFG,SP,18,0,102,0.9,NA,NA
16918,Luke Weaver,FA,RP,44,0,117,0.9,2000000,FA
6893,Johnny Cueto,FA,SP,26,0,152,0.9,14700083,FA
17998,Pete Fairbanks,TBR,RP,65,0,65,0.8,NA,NA
26253,Ryne Nelson,ARI,SP,23,0,130,0.8,NA,NA
19350,Dean Kremer,BAL,SP,28,0,159,0.8,NA,NA
16977,Trevor Williams,FA,SP,41,0,132,0.8,2000000,FA
22487,Johan Oviedo,PIT,RP,36,0,107,0.8,NA,NA
17859,Adbert Alzolay,CHC,RP,67,0,74,0.8,NA,NA
20666,Félix Bautista,BAL,RP,66,0,66,0.8,NA,NA
7593,Jordan Lyles,FA,SP,29,0,166,0.8,17273737,FA
18655,A.J. Minter,ATL,RP,68,0,68,0.8,NA,NA
7005,Ryan Pressly,HOU,RP,62,0,62,0.8,NA,NA
sa3014983,Brandon Pfaadt,ARI,SP,13,0,74,0.8,NA,NA
16258,Aaron Bummer,CHW,RP,66,0,66,0.8,NA,NA
20000,Tyler Wells,BAL,SP,26,0,136,0.8,NA,NA
19409,Dane Dunning,TEX,RP,37,0,94,0.8,NA,NA
15816,Devin Williams,MIL,RP,65,0,65,0.8,NA,NA
19899,Clarke Schmidt,NYY,RP,49,0,101,0.7,NA,NA
19225,Mitch White,TOR,RP,42,0,111,0.7,NA,NA
13050,Anthony DeSclafani,SFG,SP,24,0,132,0.7,NA,NA
5372,Michael Pineda,FA,SP,21,0,112,0.7,2000000,FA
17734,Evan Phillips,LAD,RP,66,0,66,0.7,NA,NA
26221,Ryan Pepiot,LAD,SP,29,0,117,0.7,NA,NA
6984,Luis García,SDP,RP,62,0,62,0.7,NA,NA
13449,Taylor Rogers,FA,RP,63,0,63,0.7,13142114,FA
11847,Chris Martin,BOS,RP,60,0,60,0.7,NA,NA
16502,Ryan Yarbrough,FA,SP,24,0,133,0.7,2000000,FA
12049,Kyle Hendricks,CHC,SP,23,0,128,0.7,NA,NA
16561,Austin Gomber,COL,RP,45,0,109,0.7,NA,NA
19979,Zach Plesac,CLE,SP,24,0,137,0.7,NA,NA
10078,Caleb Thielbar,MIN,RP,64,0,64,0.7,NA,NA
17130,Raisel Iglesias,ATL,RP,66,0,66,0.7,NA,NA
20167,Kyle Muller,ATL,RP,40,0,70,0.6,NA,NA
16122,Jordan Romano,TOR,RP,66,0,66,0.6,NA,NA
25388,Cody Morris,CLE,RP,55,0,70,0.6,NA,NA
13183,Zach Davies,FA,SP,28,0,145,0.6,6456838,FA
sa3017880,Andrew Painter,PHI,SP,11,0,65,0.6,NA,NA
19853,Michael King,NYY,RP,58,0,58,0.6,NA,NA
19569,David Bednar,PIT,RP,66,0,66,0.6,NA,NA
27581,Hayden Wesneski,CHC,SP,15,0,84,0.6,NA,NA
20531,Kutter Crawford,BOS,RP,34,0,93,0.6,NA,NA
16609,Bryan Abreu,HOU,RP,64,0,64,0.6,NA,NA
22207,DL Hall,BAL,RP,37,0,52,0.6,NA,NA
