Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Vidal Bruján,TBR,36,144,130,31,7,1,3,16,15,12,28,1,8,3,,0.237,0.304,0.372,0.676,0.299,99,,0.4,0,,0.2,-0.1,0.5,,999,20536
Tyler Naquin,,96,400,365,89,19,3,12,45,46,25,100,4,5,2,,0.244,0.298,0.412,0.71,0.308,99,,-0.1,-3.2,,-0.7,-8,0.5,,999,13359
Robbie Grossman,,96,414,354,78,16,1,9,47,37,49,105,5,7,3,,0.22,0.322,0.35,0.672,0.302,95,,-0.8,-1.8,,-3.2,-6.6,0.4,,999,5254
Nate Eaton,KCR,53,213,193,46,9,2,4,22,21,15,49,3,8,3,,0.241,0.302,0.375,0.676,0.298,90,,0.4,0.1,,-2.1,-1.2,0.4,,999,25055
Luis González,SFG,58,236,207,49,10,1,5,26,24,23,55,3,6,2,,0.237,0.317,0.375,0.692,0.306,98,,-0.1,-1.7,,-0.6,-3.8,0.4,,999,20332
Will Benson,CLE,24,97,82,18,4,0,3,12,11,13,27,1,2,1,,0.217,0.328,0.397,0.725,0.32,109,,0,0.2,,1,-0.6,0.4,,999,21853
Willi Castro,,52,214,198,49,10,1,5,23,22,11,48,3,5,2,,0.248,0.295,0.384,0.679,0.297,91,,0.2,-0.9,,-1.9,-1.7,0.4,,999,17338
Alec Burleson,STL,19,80,73,20,4,0,3,9,10,5,13,1,0,0,,0.273,0.321,0.446,0.767,0.333,118,,-0.1,0,,1.6,-1,0.3,,999,27615
Miles Mastrobuoni,CHC,26,106,94,25,5,1,2,11,11,9,21,1,2,1,,0.262,0.33,0.384,0.714,0.315,103,,-0.1,-0.6,,0.3,-0.6,0.3,,999,20017
Travis Jankowski,,60,242,207,48,8,1,2,25,19,29,52,2,8,3,,0.233,0.331,0.317,0.648,0.294,89,,0,-0.5,,-3,-1.7,0.3,,999,13768
Victor Reyes,,60,250,231,59,12,2,5,27,25,13,57,2,4,1,,0.255,0.299,0.379,0.678,0.297,91,,0.1,-1.1,,-2.4,-2.8,0.3,,999,15487
Chad Pinder,,83,348,323,75,16,1,11,36,40,19,100,2,2,1,,0.232,0.278,0.389,0.666,0.29,87,,-0.3,0.7,,-5.6,-3,0.3,,999,15191
Kyle Garlick,MIN,45,193,176,40,8,1,8,23,25,12,57,2,1,0,,0.23,0.287,0.43,0.718,0.311,104,,-0.2,-0.8,,0.7,-4.1,0.3,,999,18063
Michael Toglia,COL,45,184,164,39,8,1,8,23,25,17,52,1,2,1,,0.24,0.312,0.454,0.766,0.332,99,,-0.1,-0.1,,-0.2,-3.5,0.3,,999,25845
Nelson Velázquez,CHC,83,336,302,68,13,2,13,38,40,26,104,3,8,3,,0.225,0.292,0.411,0.703,0.305,96,,0.1,-0.2,,-1.3,-7.7,0.2,,999,23359
Matt Wallner,MIN,40,161,139,31,7,1,6,19,19,17,54,2,1,1,,0.225,0.317,0.411,0.728,0.318,109,,-0.1,-0.3,,1.4,-4.2,0.2,,999,26466
Jackie Bradley Jr.,,63,248,224,48,11,1,5,24,24,18,60,3,3,1,,0.215,0.279,0.342,0.621,0.275,76,,0,1.2,,-6.7,0.8,0.2,,999,12984
Adam Engel,,53,218,200,47,10,1,4,22,21,12,58,3,8,3,,0.234,0.288,0.357,0.645,0.284,82,,0.4,-1.2,,-4,-1.3,0.2,,999,15082
Pavin Smith,ARI,62,248,220,54,11,1,7,28,27,22,52,2,1,0,,0.246,0.319,0.402,0.72,0.316,101,,-0.5,0.1,,-0.1,-6.5,0.2,,999,19892
Bligh Madris,DET,37,152,136,32,7,1,4,16,16,13,34,1,2,1,,0.238,0.306,0.388,0.693,0.305,99,,-0.2,-0.1,,-0.3,-2.9,0.2,,999,20054
Ryan O'Hearn,KCR,42,173,156,37,7,1,6,19,20,14,44,2,1,0,,0.235,0.301,0.409,0.71,0.309,98,,-0.4,0,,-0.8,-3.1,0.2,,999,16442
Nick Maton,PHI,21,84,73,16,4,0,2,9,8,8,22,1,1,0,,0.223,0.308,0.365,0.672,0.299,90,,0,0,,-1,-0.2,0.2,,999,21635
Mark Payton,CHW,10,39,35,9,2,0,1,5,5,3,7,0,1,0,,0.249,0.317,0.426,0.742,0.323,111,,-0.1,-0.1,,0.4,-0.6,0.1,,999,16042
Nomar Mazara,BAL,23,93,84,21,4,0,3,10,10,7,22,1,0,0,,0.243,0.304,0.389,0.693,0.304,98,,-0.1,-0.6,,-0.3,-1.7,0.1,,999,14553
Josh Palacios,WSN,11,46,41,10,2,0,1,5,5,4,10,1,1,1,,0.249,0.321,0.384,0.705,0.312,99,,0,-0.1,,0,-0.7,0.1,,999,19818
Brett Phillips,,40,160,140,26,5,1,5,16,15,17,58,2,4,1,,0.184,0.277,0.328,0.605,0.271,74,,0.4,0.1,,-4.4,0,0.1,,999,14735
Hunter Dozier,KCR,62,254,228,53,12,2,7,26,27,20,66,3,3,1,,0.231,0.298,0.387,0.685,0.301,92,,-0.8,-0.9,,-3.2,-4.2,0.1,,999,15117
Ryan McKenna,BAL,23,94,83,18,4,0,2,9,9,9,30,1,1,1,,0.213,0.291,0.345,0.636,0.283,83,,0.1,0,,-1.7,-0.6,0.1,,999,19928
Luke Raley,TBR,8,33,29,7,1,0,1,4,4,2,10,1,0,0,,0.227,0.304,0.4,0.705,0.31,107,,0,-0.1,,0.2,-0.6,0.1,,999,19354
Franchy Cordero,BAL,10,39,35,8,2,0,1,4,4,4,12,0,1,0,,0.233,0.307,0.404,0.711,0.311,103,,0,-0.1,,0.2,-0.8,0.1,,999,14567
Dalton Guthrie,PHI,13,53,48,11,3,0,1,6,5,3,12,1,1,0,,0.238,0.292,0.367,0.66,0.29,84,,0,-0.4,,-1,-0.5,0,,999,21293
Mark Contreras,MIN,6,26,23,5,1,0,1,3,3,2,8,0,1,0,,0.209,0.273,0.372,0.645,0.283,84,,0,-0.1,,-0.5,-0.1,0,,999,20122
Charlie Blackmon,COL,128,550,499,132,23,4,15,64,65,37,101,8,3,1,,0.264,0.322,0.419,0.741,0.322,92,,-0.9,-0.9,,-5.8,-12.6,0,,999,7859
Heliot Ramos,SFG,2,7,6,1,0,0,0,1,1,0,2,0,0,0,,0.231,0.292,0.369,0.661,0.29,88,,0,-0.1,,-0.1,-0.1,0,,999,22515
Daz Cameron,BAL,2,7,6,1,0,0,0,1,1,0,2,0,0,0,,0.222,0.286,0.36,0.647,0.285,85,,0,-0.1,,-0.1,-0.1,0,,999,18353
Jordan Luplow,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.217,0.311,0.411,0.722,0.317,105,,0,0,,0,0,0,,999,16424
Jose Rojas,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.285,0.388,0.673,0.294,90,,0,0,,0,0,0,,999,19331
Brendon Davis,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.304,0.395,0.699,0.306,100,,0,0,,0,0,0,,999,18587
Adam Haseley,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.296,0.387,0.682,0.299,94,,0,0,,0,0,0,,999,19878
Oscar Mercado,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.234,0.298,0.379,0.676,0.298,94,,0,0,,0,0,0,,999,16375
Eddy Alvarez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.228,0.307,0.358,0.665,0.296,91,,0,0,,0,0,0,,999,16959
Brewer Hicklen,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.217,0.295,0.395,0.69,0.302,93,,0,0,,0,0,0,,999,20450
