Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Luis Liberato,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.218,0.289,0.381,0.669,0.294,92,,0,0,,0,0,0,,999,17307
Khris Davis,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.285,0.407,0.692,0.302,95,,0,0,,0,0,0,,999,9112
Travis Shaw,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.206,0.291,0.357,0.649,0.288,81,,0,0,,0,0,0,,999,11982
Elier Hernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.223,0.274,0.354,0.627,0.276,77,,0,0,,0,0,0,,999,13750
ByungHo Park,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.208,0.27,0.379,0.649,0.283,82,,0,0,,0,0,0,,999,18497
Ronnie Dawson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.296,0.36,0.656,0.291,87,,0,0,,0,0,0,,999,19710
Kevin Cron,OAK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.202,0.258,0.376,0.634,0.277,84,,0,0,,0,0,0,,999,16211
Terrance Gore,NYM,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.186,0.266,0.268,0.535,0.244,60,,0,0,,0,0,0,,999,13658
Alex Dickerson,,16,67,60,14,3,0,2,7,8,5,16,1,0,0,,0.234,0.296,0.404,0.7,0.306,97,,-0.1,0,,-0.3,-1.9,0,,999,12649
Stephen Vogt,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.207,0.278,0.357,0.636,0.281,80,,0,0,,0,0,0,,999,5000
Tony Wolters,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.194,0.269,0.269,0.538,0.245,55,,0,0,,-0.1,0,0,,999,11470
Bryan Arias,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.195,0.267,0.32,0.587,0.263,69,,0,0,,0,0,0,,999,sa3011265
Edwin Encarnación,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.198,0.272,0.345,0.617,0.274,75,,0,0,,0,0,0,,999,2151
Jorge Oña,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.195,0.254,0.329,0.583,0.258,68,,0,0,,0,0,0,,999,20040
Justin Upton,SEA,42,178,158,32,6,0,6,19,19,16,55,2,1,1,,0.205,0.286,0.364,0.65,0.288,85,,-0.3,-0.8,,-3.3,-4.4,-0.2,,999,5222
Jackson Frazier,,47,190,167,34,8,0,5,20,19,18,60,3,2,1,,0.207,0.293,0.35,0.642,0.287,84,,-0.4,-2.2,,-3.8,-4.6,-0.2,,999,15983
Mike Moustakas,CIN,113,457,407,89,19,1,16,48,53,38,115,6,3,1,,0.218,0.292,0.389,0.681,0.3,85,,-1.3,-1.6,,-9.2,-8.5,-0.3,,999,4892
Miguel Cabrera,DET,87,378,344,86,13,1,8,36,39,27,90,3,1,0,,0.249,0.307,0.362,0.669,0.294,92,,-2.4,-0.2,,-5.7,-10.1,-0.4,,999,1744
