"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"CJ Abrams","WSN","133","583","542","144","30","3","11","66","58","23","99","10","17","7","",".266",".306",".394",".700",".306","95","","0.7","2.2","","-2.7","8.9","2.7","","999.0","25768"
"Brendan Rodgers","COL","138","576","524","146","31","3","17","67","70","40","103","6","1","0","",".279",".335",".447",".782",".340","105","","-0.1","1.0","","3.1","3.3","2.7","","999.0","17907"
"Isaac Paredes","TBR","105","436","376","92","18","1","18","54","57","51","73","4","2","1","",".243",".338",".444",".782",".342","129","","-0.7","0.1","","13.8","-1.9","2.7","","999.0","20036"
"Brendan Donovan","STL","120","508","436","117","24","1","9","59","52","56","81","10","5","2","",".269",".362",".389",".751",".334","119","","-0.7","-0.6","","10.7","-2.2","2.7","","999.0","24679"
"Tyler O'Neill","STL","134","559","499","121","21","2","26","68","75","46","157","8","14","5","",".243",".314",".447",".761",".331","117","","1.1","0.4","","12.3","-5.5","2.7","","999.0","15711"
"Jose Siri","TBR","118","453","412","99","20","3","17","55","56","29","142","5","17","5","",".240",".296",".427",".723",".314","109","","1.6","2.7","","6.4","4.7","2.7","","999.0","17452"
"Alec Bohm","PHI","147","611","559","152","27","2","16","66","70","40","120","5","4","2","",".272",".324",".416",".740",".323","107","","-0.4","-1.9","","4.4","0.6","2.7","","999.0","21618"
"Kyle Schwarber","PHI","143","651","553","125","21","2","38","95","85","81","184","7","7","3","",".225",".329",".478",".807",".348","124","","-1.2","-5.8","","17.0","-13.4","2.7","","999.0","16478"
"Christian Walker","ARI","150","644","569","144","29","2","28","80","91","63","136","7","2","1","",".252",".331",".456",".787",".341","119","","0.0","2.2","","14.1","-10.4","2.7","","999.0","13419"
"Jonathan India","CIN","141","637","553","139","29","2","18","80","64","58","137","16","9","4","",".251",".337",".408",".746",".329","105","","-0.5","-2.1","","3.2","0.2","2.6","","999.0","21523"
"Max Muncy","LAD","136","585","488","110","21","1","26","76","78","84","135","7","2","1","",".225",".344",".431",".775",".341","122","","-0.4","-6.0","","14.4","-9.6","2.6","","999.0","13301"
"Yoán Moncada","CHW","138","613","539","131","29","2","18","74","65","60","158","6","4","2","",".243",".324",".402",".726",".318","107","","-0.1","0.0","","4.8","0.1","2.6","","999.0","17232"
"Jean Segura","","130","555","503","137","24","2","11","63","56","37","85","8","12","5","",".273",".330",".395",".725",".318","106","","0.7","-0.6","","4.7","1.6","2.6","","999.0","5933"
"Ramón Laureano","OAK","146","634","568","133","30","1","22","71","76","46","165","15","16","7","",".234",".305",".408",".713",".313","109","","1.2","0.8","","7.5","-3.3","2.6","","999.0","17128"
"Rhys Hoskins","PHI","149","669","574","133","31","2","30","91","84","79","162","7","3","2","",".232",".330",".450",".780",".340","118","","-1.7","1.6","","12.6","-10.9","2.5","","999.0","16472"
"Danny Jansen","TOR","116","460","405","97","19","1","22","58","64","42","89","6","2","1","",".238",".316",".455",".772",".334","120","","-0.7","0.1","","9.4","0.4","2.5","","999.0","16535"
"Jeremy Peña","HOU","139","616","569","140","24","2","23","76","74","31","142","7","10","4","",".246",".291",".420",".711",".309","101","","0.1","-3.6","","1.1","3.3","2.5","","999.0","21636"
"Ezequiel Tovar","COL","113","451","414","116","23","3","16","56","59","26","80","5","9","4","",".280",".327",".463",".790",".341","106","","-0.1","-0.1","","3.0","5.6","2.5","","999.0","24064"
"Travis d'Arnaud","ATL","93","389","354","89","18","1","13","44","49","24","86","6","1","0","",".250",".306",".420",".726",".316","101","","-1.2","-0.1","","-0.7","5.1","2.5","","999.0","7739"
"Kolten Wong","MIL","123","527","468","119","25","3","13","61","57","42","92","11","14","5","",".254",".327",".404",".731",".321","106","","0.8","-0.7","","4.5","1.4","2.5","","999.0","12532"
"Vaughn Grissom","ATL","123","467","419","114","21","2","12","57","53","33","77","8","12","4","",".273",".335",".419",".754",".330","111","","0.5","-4.5","","6.2","1.6","2.5","","999.0","26031"
"Alex Verdugo","BOS","147","660","596","167","38","2","16","83","70","49","97","5","5","2","",".281",".339",".429",".768",".334","113","","0.3","-0.6","","10.1","-8.0","2.4","","999.0","17027"
"Trent Grisham","SDP","118","486","421","93","19","2","17","57","55","53","126","6","9","3","",".222",".316",".397",".712",".314","106","","0.7","0.6","","3.9","2.6","2.4","","999.0","18564"
"José Abreu","","150","653","580","160","34","1","21","79","86","55","122","12","1","0","",".276",".348",".448",".797",".347","126","","-1.6","-3.0","","17.9","-16.7","2.4","","999.0","15676"
"Eugenio Suárez","SEA","146","631","552","116","21","1","28","72","80","66","193","8","1","1","",".211",".301",".405",".706",".310","107","","-2.4","-1.6","","2.4","-0.1","2.4","","999.0","12552"
"Ryan McMahon","COL","138","595","525","130","26","2","22","72","75","59","152","5","7","3","",".248",".328",".433",".761",".332","99","","0.0","0.6","","-0.4","2.9","2.4","","999.0","15112"
"Keibert Ruiz","WSN","100","403","363","96","20","1","13","45","48","31","47","4","4","2","",".263",".325",".432",".757",".330","112","","-0.6","0.3","","4.9","7.0","2.4","","999.0","19610"
"Luis Rengifo","LAA","133","596","546","140","26","4","18","73","64","35","101","5","10","4","",".257",".306",".418",".724",".314","103","","0.7","-0.5","","2.7","0.6","2.3","","999.0","19858"
"Jake McCarthy","ARI","141","611","548","141","28","6","15","71","71","49","132","8","28","10","",".258",".325",".415",".740",".324","107","","2.4","-0.2","","7.3","-5.7","2.3","","999.0","21622"
"Tyler Stephenson","CIN","119","506","452","116","24","1","15","56","60","43","114","7","2","1","",".257",".328",".411",".738",".324","102","","-0.6","0.6","","0.5","7.3","2.3","","999.0","17988"
"Yasmani Grandal","CHW","83","331","275","62","10","0","11","39","37","50","73","3","1","0","",".225",".346",".391",".737",".329","115","","-2.2","-2.2","","3.2","3.9","2.3","","999.0","11368"
"Jose Miranda","MIN","138","590","539","145","32","1","21","70","80","37","101","9","2","1","",".269",".324",".449",".773",".336","121","","-0.8","-0.1","","13.3","-10.3","2.3","","999.0","20538"
"Giancarlo Stanton","NYY","130","559","492","121","19","1","33","74","87","59","160","3","1","0","",".246",".329",".487",".816",".351","132","","-2.0","0.0","","18.0","-14.0","2.3","","999.0","4949"
"Tony Kemp","OAK","136","612","537","134","28","2","10","70","49","57","80","9","11","4","",".250",".330",".365",".694",".310","107","","0.5","-1.8","","5.2","-2.9","2.3","","999.0","14894"
"Miguel Vargas","LAD","128","497","439","116","24","2","18","62","64","45","89","5","8","3","",".264",".337",".446",".783",".341","122","","-0.2","-6.2","","12.6","-7.6","2.3","","999.0","20178"
"Andrew Benintendi","","130","567","505","135","27","3","13","67","61","52","97","4","9","4","",".267",".338",".408",".746",".328","113","","-0.2","1.4","","8.1","-5.1","2.3","","999.0","17901"
"Mike Yastrzemski","SFG","133","572","503","115","29","2","20","66","68","56","143","7","4","2","",".230",".313",".414",".727",".318","107","","-0.1","-1.9","","4.3","-2.0","2.3","","999.0","14854"
"Teoscar Hernández","TOR","144","609","556","142","30","1","29","77","90","41","162","5","8","3","",".255",".309",".469",".779",".336","121","","-0.1","-4.1","","14.0","-12.0","2.2","","999.0","13066"
"Anthony Volpe","NYY","92","374","330","79","18","2","13","45","44","34","77","5","15","5","",".240",".319",".423",".741",".324","113","","0.5","0.0","","5.8","3.5","2.2","","999.0","sa3010868"
"Rowdy Tellez","MIL","130","560","495","122","24","1","31","73","84","54","114","6","2","1","",".247",".325",".485",".810",".345","123","","-1.7","0.6","","13.1","-10.7","2.2","","999.0","15679"
"Josh Naylor","CLE","134","574","515","137","30","1","23","72","83","47","94","6","5","2","",".267",".334",".464",".798",".344","126","","-1.1","0.1","","15.6","-12.7","2.2","","999.0","18839"
"Mark Canha","NYM","146","602","511","124","24","2","17","68","64","62","122","20","5","2","",".242",".345",".391",".736",".328","118","","-1.2","-4.0","","11.2","-10.7","2.2","","999.0","11445"
"Christopher Morel","CHC","123","505","452","106","21","4","19","58","60","42","142","5","12","5","",".234",".304",".425",".729",".317","105","","0.6","-2.1","","3.3","0.3","2.2","","999.0","21897"
"Ramón Urías","BAL","125","510","457","113","23","1","15","54","56","41","118","7","2","1","",".247",".315",".403",".718",".314","105","","-0.6","0.2","","2.3","1.9","2.2","","999.0","18795"
"Royce Lewis","MIN","78","307","277","74","18","1","11","39","40","22","61","3","9","3","",".269",".328",".464",".793",".343","127","","0.2","-1.0","","9.4","1.2","2.1","","999.0","20437"
"Omar Narváez","","100","410","362","87","16","1","8","42","41","38","80","5","1","0","",".239",".317",".359",".676",".300","94","","-1.1","-1.5","","-4.1","4.9","2.1","","999.0","13338"
"Myles Straw","CLE","134","532","470","119","23","2","3","57","42","51","88","3","20","5","",".253",".328",".329",".657",".296","91","","2.6","3.8","","-2.5","6.0","2.1","","999.0","17620"
"Josh Rojas","ARI","125","536","469","117","28","2","10","61","53","57","115","3","15","5","",".250",".333",".385",".718",".317","102","","1.6","-2.6","","2.9","-0.5","2.1","","999.0","19734"
"Javier Báez","DET","141","627","580","140","29","4","22","71","72","30","169","9","10","4","",".240",".286",".414",".700",".303","98","","1.0","-6.5","","-0.3","0.5","2.1","","999.0","12979"
"Brandon Crawford","SFG","126","519","462","113","22","2","13","53","55","44","108","7","4","2","",".243",".317",".388",".704",".309","100","","-0.9","-3.0","","-0.9","3.4","2.1","","999.0","5343"
"Logan O'Hoppe","LAA","72","288","251","62","11","1","12","34","37","30","52","4","3","1","",".246",".332",".438",".771",".336","118","","-0.3","-0.2","","5.6","5.8","2.1","","999.0","24729"
"Christian Bethancourt","TBR","69","274","253","62","13","0","10","30","35","15","64","2","3","1","",".247",".292",".419",".711",".308","106","","-0.4","1.5","","1.4","7.0","2.1","","999.0","10028"
"Oscar Gonzalez","CLE","138","567","531","146","29","2","23","66","78","25","109","5","3","1","",".275",".311",".468",".779",".334","119","","-0.6","0.2","","11.3","-9.6","2.1","","999.0","20970"
